Date,Number,%Tagged,Mean,Min Deviation,Max Deviation
11/2016,4,0.24,13.02,8.22,17.82
12/2016,10,0.24,13.02,8.22,17.82
1/2017,7,0.24,13.02,8.22,17.82
2/2017,13,0.24,13.02,8.22,17.82
3/2017,17,0.24,13.02,8.22,17.82
4/2017,22,0.24,13.02,8.22,17.82
5/2017,23,0.24,13.02,8.22,17.82
6/2017,11,0.24,13.02,8.22,17.82
7/2017,13,0.24,13.02,8.22,17.82
8/2017,9,0.24,13.02,8.22,17.82
9/2017,15,0.24,13.02,8.22,17.82
10/2017,9,0.24,13.02,8.22,17.82
11/2017,7,0.24,13.02,8.22,17.82
12/2017,10,0.24,13.02,8.22,17.82
1/2018,26,0.24,13.02,8.22,17.82
2/2018,17,0.24,13.02,8.22,17.82
3/2018,9,0.24,13.02,8.22,17.82
4/2018,15,0.24,13.02,8.22,17.82
5/2018,14,0.24,13.02,8.22,17.82
6/2018,16,0.24,13.02,8.22,17.82
7/2018,17,0.24,13.02,8.22,17.82
8/2018,21,0.24,13.02,8.22,17.82
9/2018,17,0.24,13.02,8.22,17.82
10/2018,19,0.24,13.02,8.22,17.82
11/2018,9,0.24,13.02,8.22,17.82
12/2018,7,0.24,13.02,8.22,17.82
1/2019,15,0.24,13.02,8.22,17.82
2/2019,11,0.24,13.02,8.22,17.82
3/2019,8,0.24,13.02,8.22,17.82
4/2019,8,0.24,13.02,8.22,17.82
5/2019,12,0.24,13.02,8.22,17.82
6/2019,11,0.24,13.02,8.22,17.82
7/2019,10,0.24,13.02,8.22,17.82
8/2019,10,0.24,13.02,8.22,17.82
9/2019,18,0.24,13.02,8.22,17.82
10/2019,14,0.24,13.02,8.22,17.82
11/2019,12,0.24,13.02,8.22,17.82
12/2019,15,0.24,13.02,8.22,17.82
1/2020,15,0.24,13.02,8.22,17.82
2/2020,7,0.24,13.02,8.22,17.82
3/2020,14,0.24,13.02,8.22,17.82
4/2020,10,0.24,13.02,8.22,17.82
